Date,ISIN,Symbol,Price,Source
2025-04-24,INE800A01015,BIRLACABLE.NS,,yfinance
2025-04-24,INE340A01012,BIRLACORPN.NS,1115.5,yfinance
2025-04-24,INE865C01022,BIRLAMONEY.NS,,yfinance
2025-04-24,INE0AEJ01013,BIRLATYRE.NS,,yfinance
2025-04-24,INE831Q01016,BKMINDST.NS,,yfinance
2025-04-24,INE791A01024,BLBLIMITED.NS,,yfinance
2025-04-24,INE416D01022,BLISSGVS.NS,,yfinance
2025-04-24,INE350H01032,BLKASHYAP.NS,67.29000091552734,yfinance
2025-04-24,INE153T01027,BLS.NS,,yfinance
2025-04-24,INE472B01011,BLUECOAST.NS,31.600000381469727,yfinance
2025-04-24,INE233B01017,BLUEDART.NS,,yfinance
2025-04-24,INE472A01039,BLUESTARCO.NS,1849.5999755859373,yfinance
2025-04-24,INE338D01028,BODALCHEM.NS,,yfinance
2025-04-24,INE032A01023,BOMDYEING.NS,,yfinance
2025-04-24,INE02PY01013,BOROLTD.NS,,yfinance
2025-04-24,INE666D01022,BORORENEW.NS,515.7000122070312,yfinance
2025-04-24,INE323A01026,BOSCHLTD.NS,,yfinance
2025-04-24,INE029A01011,BPCL.NS,,yfinance
2025-04-24,INE110A01019,BPL.NS,78.75,yfinance
2025-04-24,INE589G01011,BRFL.NS,,yfinance
2025-04-24,INE791I01019,BRIGADE.NS,1037.4000244140625,yfinance
2025-04-24,INE216A01030,BRITANNIA.NS,,yfinance
2025-04-24,INE727S01012,BRNL.NS,,yfinance
2025-04-24,INE650L01011,BROOKS.NS,147.19000244140625,yfinance
2025-04-24,INE118H01025,BSE.NS,,yfinance
2025-04-24,INE395A01016,BSELINFRA.NS,,yfinance
2025-04-24,INE032Z01012,BSHSL.NS,,yfinance
2025-04-24,INE594B01012,BSL.NS,,yfinance
2025-04-24,INE836A01035,BSOFT.NS,,yfinance
2025-04-24,INE07T201019,BURGERKING.NS,,yfinance
2025-04-24,INE817H01014,BURNPUR.NS,,yfinance
2025-04-24,INE295F01017,BUTTERFLY.NS,,yfinance
2025-04-24,INE139I01011,BVCL.NS,41.060001373291016,yfinance
2025-04-24,INE319B01014,BYKE.NS,81.88999938964844,yfinance
2025-04-24,INE010B01027,CADILAHC.NS,,yfinance
2025-04-24,INE526B01014,CALSOFT.NS,11.489999771118164,yfinance
2025-04-24,INE052I01032,CAMLINFINE.NS,,yfinance
2025-04-24,INE596I01012,CAMS.NS,,yfinance
2025-04-24,INE476A01014,CANBK.NS,,yfinance
2025-04-24,INE874H01015,CANDC.NS,,yfinance
2025-04-24,INE477A01020,CANFINHOME.NS,,yfinance
2025-04-24,INE068L01016,CANTABIL.NS,,yfinance
2025-04-24,INE264T01014,CAPACITE.NS,,yfinance
2025-04-24,INE475E01026,CAPLIPOINT.NS,,yfinance
2025-04-24,INE707C01018,CAPTRUST.NS,,yfinance
