ISIN,Symbol,Type,Name
INE363A01022,ASIANHOTNR.NS,EQ,Asian Hotels (North) Limited
INE021A01026,ASIANPAINT.NS,EQ,Asian Paints Limited
INE022I01019,ASIANTILES.NS,EQ,Asian Granito India Limited
INE991I01015,ASPINWALL.NS,EQ,Aspinwall and Company Limited
INE563J01010,ASTEC.NS,EQ,Astec LifeSciences Limited
INE914M01019,ASTERDM.NS,EQ,Aster DM Healthcare Limited
INE006I01046,ASTRAL.NS,EQ,Astral Poly Technik Limited
INE386C01029,ASTRAMICRO.NS,EQ,Astra Microwave Products Limited
INE203A01020,ASTRAZEN.NS,EQ,AstraZeneca Pharma India Limited
INE646X01014,ASTRON.NS,EQ,Astron Paper & Board Mill Limited
INE209A01019,ATFL.NS,EQ,Agro Tech Foods Limited
INE399L01023,ATGL.NS,EQ,Adani Total Gas Limited
INE285H01022,ATLANTA.NS,EQ,Atlanta  Limited
INE446A01025,ATLASCYCLE.NS,EQ,Atlas Cycles (Haryana) Limited
INE100A01010,ATUL.NS,EQ,Atul Limited
INE951D01028,ATULAUTO.NS,EQ,Atul Auto Limited
INE949L01017,AUBANK.NS,EQ,AU Small Finance Bank Limited
INE132H01018,AURIONPRO.NS,EQ,Aurionpro Solutions Limited
INE406A01037,AUROPHARMA.NS,EQ,Aurobindo Pharma Limited
INE218C01016,AUSOMENT.NS,EQ,Ausom Enterprise Limited
INE449A01011,AUTOAXLES.NS,EQ,Automotive Axles Limited
INE718H01014,AUTOIND.NS,EQ,Autoline Industries Limited
INE448A01013,AUTOLITIND.NS,EQ,Autolite (India) Limited
INE349W01017,AVADHSUGAR.NS,EQ,Avadh Sugar & Energy Limited
INE871C01038,AVANTIFEED.NS,EQ,Avanti Feeds Limited
INE488D01021,AVTNPL.NS,EQ,AVT Natural Products Limited
INE01BK01022,AWHCL.NS,EQ,Antony Waste Handling Cell Limited
INE238A01034,AXISBANK.NS,EQ,Axis Bank Limited
INE555B01013,AXISCADES.NS,EQ,AXISCADES Technologies Limited
INE193B01039,AYMSYNTEX.NS,EQ,AYM Syntex Limited
INE878I01022,BAFNAPH.NS,EQ,Bafna Pharmaceuticals Limited
INE116D01028,BAGFILMS.NS,EQ,B.A.G Films and Media Limited
INE917I01010,BAJAJ-AUTO.NS,EQ,Bajaj Auto Limited
INE933K01021,BAJAJCON.NS,EQ,Bajaj Consumer Care Limited
INE193E01025,BAJAJELEC.NS,EQ,Bajaj Electricals Limited
INE918I01018,BAJAJFINSV.NS,EQ,Bajaj Finserv Limited
INE306A01021,BAJAJHIND.NS,EQ,Bajaj Hindusthan Sugar Limited
INE118A01012,BAJAJHLDNG.NS,EQ,Bajaj Holdings & Investment Limited
INE296A01024,BAJFINANCE.NS,EQ,Bajaj Finance Limited
INE794B01026,BALAJITELE.NS,EQ,Balaji Telefilms Limited
INE050E01027,BALAMINES.NS,EQ,Balaji Amines Limited
INE618N01014,BALAXI.NS,EQ,BALAXI PHARMACEUTICALS LIMITED
INE875R01011,BALKRISHNA.NS,EQ,Balkrishna Paper Mills Limited
INE787D01026,BALKRISIND.NS,EQ,Balkrishna Industries Limited
INE294A01037,BALLARPUR.NS,EQ,Ballarpur Industries Limited
INE164A01016,BALMLAWRIE.NS,EQ,Balmer Lawrie & Company Limited
INE083D01012,BALPHARMA.NS,EQ,Bal Pharma Limited
INE119A01028,BALRAMCHIN.NS,EQ,Balrampur Chini Mills Limited
INE655B01011,BANARBEADS.NS,EQ,Banaras Beads Limited
INE459A01010,BANARISUG.NS,EQ,Bannari Amman Sugars Limited
INE213C01025,BANCOINDIA.NS,EQ,Banco Products (I) Limited
INE545U01014,BANDHANBNK.NS,EQ,Bandhan Bank Limited
INE863I01016,BANG.NS,EQ,Bang Overseas Limited
INE862Y01015,BANKA.NS,EQ,Banka BioLoo Limited
INE028A01039,BANKBARODA.NS,EQ,Bank of Baroda
INE084A01016,BANKINDIA.NS,EQ,Bank of India
INE629D01012,BANSWRAS.NS,EQ,Banswara Syntex Limited
INE855F01034,BARTRONICS.NS,EQ,Bartronics India Limited
INE373A01013,BASF.NS,EQ,BASF India Limited
INE186H01014,BASML.NS,EQ,Bannari Amman Spinning Mills Limited
INE176A01028,BATAINDIA.NS,EQ,Bata India Limited
INE462A01022,BAYERCROP.NS,EQ,Bayer Cropscience Limited
INE464A01028,BBL.NS,EQ,Bharat Bijlee Limited
INE050A01025,BBTC.NS,EQ,Bombay Burmah Trading Corporation Limited
INE425B01027,BCG.NS,EQ,Brightcom Group Limited
INE905P01028,BCP.NS,EQ,B.C. Power Controls Ltd
INE171Z01018,BDL.NS,EQ,Bharat Dynamics Limited
INE520H01022,BEARDSELL.NS,EQ,Beardsell Limited
INE495P01012,BECTORFOOD.NS,EQ,Mrs. Bectors Food Specialities Limited
INE844K01012,BEDMUTHA.NS,EQ,Bedmutha Industries Limited
INE263A01024,BEL.NS,EQ,Bharat Electronics Limited
INE258A01016,BEML.NS,EQ,BEML Limited
INE922A01025,BEPL.NS,EQ,Bhansali Engineering Polymers Limited
INE463A01038,BERGEPAINT.NS,EQ,Berger Paints (I) Limited
INE878K01010,BFINVEST.NS,EQ,BF Investment Limited
INE243D01012,BFUTILITIE.NS,EQ,BF Utilities Limited
INE661I01014,BGRENERGY.NS,EQ,BGR Energy Systems Limited
INE354C01027,BHAGERIA.NS,EQ,Bhageria Industries Limited
INE458B01036,BHAGYANGR.NS,EQ,Bhagyanagar India Limited
INE363W01018,BHAGYAPROP.NS,EQ,Bhagyanagar Properties Limited
INE474E01029,BHANDARI.NS,EQ,Bhandari Hosiery Exports Limited
INE465A01025,BHARATFORG.NS,EQ,Bharat Forge Limited
INE561C01019,BHARATGEAR.NS,EQ,Bharat Gears Limited
INE838B01013,BHARATRAS.NS,EQ,Bharat Rasayan Limited
INE316L01019,BHARATWIRE.NS,EQ,Bharat Wire Ropes Limited
INE397D01024,BHARTIARTL.NS,EQ,Bharti Airtel Limited
